Company,Sector,Stage,Amount,Location,About,Funding Year
Trell,—,Seed,1250000.0,Bengaluru,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018
Kidovators (by GyanLab),Big Data,Seed,180000.0,Bengaluru,Building future human capital through 21st Century Skills programs for K-12,2018
Log 9 Materials,Nanotechnology,Seed,363820.45,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,2018
VTION,Analytics,Seed,232845.09,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018
HousingMan.com,—,Seed,1249116.89,Bengaluru,"New Apartments, Flats for Sale in Bangalore",2018
Steradian Semiconductors,—,Seed,,Bengaluru,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,2018
RupeeCircle,Financial Services,Seed,485093.94,Mumbai,RupeeCircle is a new age finance company.,2018
Wooden Street,E-Commerce,Series A,1000000.0,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018
The Ken,Digital Media,Series A,1500000.0,Bengaluru,The Ken is India’s first subscriptions-only business news site,2018
SaffronStays,—,Seed,2000000.0,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2018
Vebbler,File Sharing,Seed,,Bengaluru,A personal network for close people,2018
Foyr,Home Decor,Series A,4200000.0,Pune,"Foyr.com is India's first online, automated interior designer",2018
MEngage,Health Care,Seed,175000.0,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018
Inner Being Wellness,—,Angel,424457.19,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",2018
Kobster,E-Commerce,Seed,,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,2018
Wishberry,Crowdfunding,Series A,1212734.84,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,2018
McXtra,Finance,Seed,1300000.0,Andheri,McXtra is a digital insurance broking startup.,2018
Magic Crate,Children,Seed,,Bengaluru,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",2018
SmartVizX,Software,Seed,1450000.0,Noida,It is a Virtual Reality Solutions StartUp,2018
MySEODoc,—,Seed,,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,—,Seed,2425.47,Pune,Digital Marketing Agency,2018
Scale Labs,—,Seed,1000000.0,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018
HungerBox,B2B,Series A,4500000.0,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018
Biryani By Kilo,Catering,Seed,1000000.0,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018
Wholesome Habits (EAT Anytime),Food And Beverage,Seed,500000.0,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018
GoBumpr,Automotive,Seed,600000.0,Mylapore,Car Service and Bike Service Mobile App,2018
Fixpocket,Computer,Seed,250000.0,Ahmedabad,Fixpocket is a internet-based startup.,2018
edureka!,Android,Series A,2000000.0,Bengaluru,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2018
Hashtag Loyalty Private Limited,Analytics,Seed,,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,2018
Wow Express,Delivery,Series A,4500000.0,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",2018
ZunRoof,Environmental Consulting,Angel,201313.98,Gurgaon,ZunRoof is a rooftop focused solar startup.,2018
Eggoz,Food And Beverage,Angel,145528.18,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,2018
Sqrrl Fintech,Big Data,Seed,1000000.0,Gurgaon,Personal Finance,2018
GalaxyCard,Finance,Seed,,Noida,GalaxyCard is a mobile based Instant credit card.,2018
IndiQube,Commercial Real Estate,Series A,15000000.0,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,2018
EGK Foods,Food And Beverage,Seed,242546.97,Mumbai,A food processing enterprise registered with StartUp India .,2018
NirogStreet,Apps,Seed,300000.0,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2018
Pixr8,Digital Media,Seed,50000.0,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,2018
Nivesh.com,Finance,Seed,363820.45,Noida,Nivesh.com is a mass market mutual funds investment platform.,2018
Theranosis Life Sciences,Biotechnology,Seed,,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,2018
Poshmiles Online Solutions Private Limited,Travel,Seed,,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,2018
Reculta,Education,Seed,,Noida,A campus recruitment solution provider.,2018
Orbo.ai,Internet,Seed,,Mumbai,Orbo is a computer vision and deep facial technology company.,2018
Inntot Technologies,Consumer Electronics,Seed,,Kochi,"Inntot Technologies, is a technology driven company.",2018
Zoctr Health,Apps,Seed,,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,2018
Hey Deedee,Delivery Service,Seed,400202.5,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,2018
DigiConnectt Technologys,Information Services,Seed,125000.0,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,2018
Locus.sh,Big Data,Series A,4000000.0,Bengaluru,Locus is an intelligent logistics automation platform.,2018
Sports Flashes Pvt. Ltd,Basketball,Seed,1000000.0,Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018
Inc42,Media And Entertainment,Seed,,Delhi,Inc42 is one of the leading tech media publications of India.,2018
Picxy,Internet,Seed,130000.0,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",2018
Huddle,Consulting,Seed,300000.0,Haryana,A coworking incubator Company.,2018
Benepik,Human Resources,Seed,,Gurgaon,HR Technology start-up.,2018
Cash Suvidha,Finance,Seed,1000000.0,Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,2018
Smartcoin,Big Data,Seed,2000000.0,Bengaluru,Providing financial access to the millions of mobile users in India using alternative credit assessment,2018
Carmel Organics,Agriculture,Series A,,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",2018
Roadcast,—,Angel,250000.0,Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,2018
Printline Media(ThePrint),Digital Media,Seed,423244.46,Delhi,A digital news platform.,2018
Creditas Solutions,Financial Services,Seed,,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,2018
UrbanPiper,Software,Seed,,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,2018
Doxper,Health Care,Seed,873169.09,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,2018
i2ifunding,Crowdfunding,Angel,606367.42,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,2018
ShakeDeal,B2B,Seed,,Bengaluru,Home of B2B Commerce,2018
HelloVerify,Fraud Detection,Seed,,Noida,HelloVerify is an online background check platform.,2018
Fasal,Agriculture,Seed,120000.0,Bengaluru,Climate Smart Precision Agriculture Platform,2018
CoinGeto,Cryptocurrency,Seed,1455281.81,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,2018
Avail Finance,Finance,Series A,17200000.0,Bengaluru,Avail is a mobile-first platform aiming to financially include the urban mass of India.,2018
Tripeur,Information Technology,Seed,600000.0,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,2018
Wedeterna,Wedding,Angel,,Bengaluru,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",2018
Stumagz,Digital Media,Seed,,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,2018
Doubtnut,E-Learning,Seed,424457.19,Gurgaon,Gurgaon based E-learning platform.,2018
MCaffeine,Consumer Goods,Seed,388075.15,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,2018
TrustCheckr,Information Technology,Angel,100000.0,Bengaluru,A Bengaluru-based fraud analytics solution provider .,2018
HealthAssure,Fitness,Seed,1000000.0,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,2018
Picture TIme,Digital Entertainment,Seed,3031837.1,Delhi,Operator of low-cost mobile cinema theatres in rural areas.,2018
1Crowd,Crowdsourcing,Angel,3500000.0,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,2018
Aarav Unmanned Systems,Delivery,Seed,,Bengaluru,Professional Drones for Enterprise Applications,2018
Wellthy Therapeutics Pvt Ltd,Health Care,Seed,1637192.04,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",2018
Nua,Consumer Goods,Seed,,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,2018
Kuvera.in,Financial Services,Angel,250000.0,Bengaluru,An online platform for mutual fund investments.,2018
Livehealth,Health Care,Seed,1100000.0,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,2018
Gramophone,Farming,Seed,1000000.0,Indore,An agricultural inputs startup Company.,2018
Ora,Business Travel,Seed,,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,2018
Buddy4Study.com,Career Planning,Series A,3000000.0,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,2018
Predible Health,Medical Device,Seed,,Bengaluru,Healthcare devices for cancer detection,2018
Syncremedies Healthcare Pvt Ltd,Alternative Medicine,Seed,,Bengaluru,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",2018
Blueleaf Cyberspace Systems,Internet,Seed,,Bengaluru,Bluleaf Cyberspace is Cloud Based Software Company.,2018
Toffee,—,Seed,1500000.0,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",2018
ORO Wealth,—,Series A,1600000.0,Mumbai,Online wealth management platform,2018
HealWell24,Dental,Seed,200000.0,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",2018
Acko General Insurance,Financial Services,Series A,12000000.0,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,2018
arzooo.com,Consumer Electronics,Seed,181910.23,Bengaluru,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,2018
Bonphul Air Products,Cleantech,Angel,242546.97,Delhi,A clean tech product Company,2018
DheeYantra Research Labs,Artificial Intelligence,Seed,,Bengaluru,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",2018
Edyoo,Education,Seed,1000000.0,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",2018
Chtrbox,Advertising,Angel,121273.48,Mumbai,Chtrbox connects social media influencers with brands .,2018
Aashiyaan Housing and Development Finance,Financial Services,Seed,1637192.04,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,2018
BetterPlace Safety Solutions Pvt. Ltd.,Human Resources,Series A,3000000.0,Bengaluru,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",2018
Cashkumar,Consumer Lending,Seed,606367.42,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,2018
Rocketium,Marketing,Seed,242546.97,Bengaluru,Easy video creation for social media.,2018
FreightBazaar,Transportation,Seed,,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,2018
OPEN,Banking,Seed,,Bengaluru,Open up to a new world of Banking,2018
mfine,Health Care,Series A,4200000.0,Bengaluru,Hospital & Health Care Start up,2018
Earth Food,Food And Beverage,Seed,776150.3,Pune,Earth Food is a healthy Food Start Up.,2018
Charcoal Eats,Food Processing,Seed,606367.42,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.,2018
Wishfie,Apps,Seed,,Bengaluru,A platform for people to express their opinions in form of short videos around any topic.,2018
The Social Hook,Marketing,Seed,,Bengaluru,Fast growing Influencer Marketing platform in India.,2018
FreightBro,Apps,Seed,,Mumbai,Software for the new-age freight,2018
Finwego,—,Seed,,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,2018
Cricnwin,Digital Entertainment,Seed,,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform,2018
Wicked Ride Adventure Services Private Limited,Automotive,,10000000.0,Bengaluru,Peer-to-Peer motor vehicles sharing,2018
Career Anna,Commercial,Seed,485093.94,Bengaluru,India's Go to Career Commerce Portal,2018
ERUDITUS Executive Education,Continuing Education,Series C,40000000.0,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",2018
Gaia Smart Cities,Smart Cities,Seed,,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,2018
Square Off,Internet Of Things,Seed,1100000.0,Mumbai,Delivering Imagination,2018
UrbanClap,Apps,Series D,50000000.0,Delhi,UrbanClap is India's leading managed marketplace for home services.,2018
Hospals,Medical,Seed,1500000.0,Delhi,Hospals is a medical tourism company.,2018
Kogta Financial India Limited,Financial Services,Series B,18676116.55,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,2018
Perspectico,Career Planning,Seed,,Delhi,An Education Management startup.,2018
The Souled Store,Fashion,,3000000.0,Mumbai,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",2018
Hush - Speak Up. Make Work Better,Communities,Seed,545730.68,Bengaluru,Enabling diversity of opinions in organizations,2018
Drivezy,Automotive,Debt Financing,100000000.0,Bengaluru,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,2018
Freyr Energy,Energy,Series A,1500000.0,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2018
NIRAMAI Health Analytix,Health Care,Seed,6000000.0,Bengaluru,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,2018
CloudSek,Information Technology,Seed,1697828.78,Bengaluru,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,2018
Lendbox,Crowdfunding,Seed,727640.9,Delhi,Lendbox is India's leading peer-to-peer lending online lending platform.,2018
Verloop,Customer Service,Series A,3000000.0,Bengaluru,Verloop is an automated customer support and engagement platform.,2018
Flickstree,Advertising,Seed,,Mumbai,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",2018
Paymatrix,Credit Cards,Seed,100000.0,Hyderabad,India's Leading Property Rent management platform,2018
Idha Skin Clinic,Beauty,Seed,60636.74,Bengaluru,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,2018
InCred,Banking,Private Equity,41900000.0,Mumbai,InCred Finance is a mumbai-based non-banking financial company,2018
Vedantu,Edtech,Series B,11000000.0,Bengaluru,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,2018
Sportido,Social Media,Seed,,Noida,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,2018
Stelis Biopharma,Biopharma,Series B,100000000.0,Bengaluru,Stelis Biopharma is a vertically integrated biopharmaceutical company,2018
Magicpin,E-Commerce,Series C,17099561.26,Gurgaon,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",2018
Try & Buy,E-Commerce,Seed,,Delhi,Try & Buy,2018
Mech Mocha,Digital Entertainment,Series B,3530000.0,Bengaluru,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,2018
Aye Finance,Finance,Debt Financing,873169.09,Gurgaon,Aye Finance provides financial services to micro and small businesses in Northern India.,2018
Aldopay,Mobile Payments,Seed,200000.0,Chennai,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,2018
Detect Technologies,Artificial Intelligence,Series A,3300000.0,Chennai,Completely automated remote control system.,2018
Signzy,Computer,Series A,2910563.62,Bengaluru,Signzy are creating 'building blocks for a Digital Trust system.,2018
CashRich,Apps,Seed,1000000.0,Mumbai,A Mumbai-based fin-tech startup,2018
Cloudnine Hospitals,Child Care,Private Equity,,Bengaluru,Cloudnine is an Indian chain of women and child care hospitals.,2018
CropIn Technologies,Agriculture,Series B,7033862.08,Bengaluru,"To discover, develop and deliver innovative solution in Agtech Space",2018
Billdesk,Finance,,,Ahmedabad,"BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",2018
Yaantra,Information Services,Debt Financing,2000000.0,Delhi,"Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",2018
TECHBOOZE,Education,Seed,100000.0,Delhi,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",2018
HealthifyMe,Apps,Series B,6000000.0,Bengaluru,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,2018
hoi foods,Food And Beverage,Seed,436584.54,Gurgaon,India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,2018
Perpule,Apps,Series A,4123298.46,Bengaluru,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,2018
Royal Sundaram General Insurance Co. Limited,Health Insurance,Corporate Round,210000000.0,Kalpakkam,"Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",2018
CleanseCar,Automotive,Angel,424457.19,Bengaluru,CleanseCar is a company provides Washing and Repair Services.,2018
DRIVEU,Rental,,848914.39,Bengaluru,DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,2018
Spinny,E-Commerce,Series A,11000000.0,Gurgaon,Used cars marketplace in India. Ushering new era of transparency and convenience.,2018
Asset Reconstruction Company (India) Ltd.,Financial Services,Secondary Market,,Mumbai,Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,2018
Med365 Healthcare,Health Diagnostics,Seed,606367.42,Jaipur,"Wellness, Specialised Testing, Healthcare at Home",2018
Dunzo,Customer Service,Debt Financing,848914.39,Bengaluru,Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,2018
Mobile Premier League (MPL),Gaming,Series A,5000000.0,Bengaluru,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,2018
WalMart India,Retail,,37680000.0,Gurgaon,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",2018
Cred,—,Seed,,Bengaluru,Cred is a platform to celebrate and reward the most creditworthy people of India.,2018
Meesho,E-Commerce,Series C,50000000.0,Bengaluru,"Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",2018
BhaskarGuru,Search Engine,Seed,1000000.0,Bhopal,Bhaskarguru.com is your local search Engine,2018
Gugu,Battery,Seed,250000.0,Coimbatore,Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,2018
FarmTaaza,Agriculture,Series A,,Bengaluru,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,2018
Vizzbee,Artificial Intelligence,Pre-Seed,20000.0,Bhopal,Autonomous Drone Solutions for last mile delivery as well as search and rescue,2018
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,900000.0,Bengaluru,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,2018
Mobycy,Fitness,Angel,,Gurgaon,India's 1st Dockless Bicycle Sharing App,2018
Traveo Soft Pvt. Ltd.,Mobile,,14552.82,Bengaluru,AI based Business Travel & Expense management,2018
Em Personal Care,Cosmetics,Seed,,Worli,Em Personal Care is a Cosmetic products manufacturing Company.,2018
Lucideus,Consulting,,5000000.0,Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",2018
Eupheus Learning,E-Learning,Seed,,Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,2018
GamingMonk,Esports,Series A,485093.94,Delhi,"GamingMonk is an eSports gaming company based out of New Delhi, India.",2018
Sukkhi Jewellery,Fashion,,6184947.69,Mumbai,Sukkhi Jewellery is a Contemporary fashion jewellery brand.,2018
INDwealth,Financial Services,Seed,26680166.5,Gurgaon,INDwealth is an Artificial Intelligence (AI) powered wealth management company,2018
Medikabazaar,B2B,Series A,5000000.0,Mumbai,India's largest medical and surgical supplies marketplace,2018
NIRA,Credit,Seed,1000000.0,Bengaluru,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2018
Duroflex Pvt. Ltd.,Consumer Goods,Private Equity,22000000.0,Alleppey,Duroflex Pvt. Ltd. operates as a dominant mattress player.,2018
Clensta,Biotechnology,Seed,,Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,2018
Jetbrain Robotics,Health Care,Seed,70000.0,Gurgaon,"Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",2018
Medimetry,Health Care,Seed,,Haryana,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",2018
Healthkart,E-Commerce,,10000000.0,Gurgaon,"The one stop shop for health, fitness & beauty.",2018
Indiabulls Ventures,Financial Services,Post-IPO Equity,186664146.7,Mumbai,Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,2018
Vistara,Aerospace,Private Equity,242546968.16,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),2018
ClearTax,Accounting,Series B,48509393.63,Delhi,ClearTax India helps individuals prepare and e-file their Income Tax Return online.,2018
Shuttl,Apps,Debt Financing,1000000.0,Gurgaon,"Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",2018
GuruQ,Reading Apps,Seed,303183.71,Delhi,A one of its kind digital integrated platform connecting tutors and students.,2018
Azure Power,Energy,Post-IPO Equity,185000000.0,Delhi,"Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",2018
Cube,Banking,Series A,1697828.78,Mumbai,Cube is consumer banking focused fintech company.,2018
RAHI Care,Health Care,,,Chandigarh,RAHI Care is a Health Care company.,2018
Mynvax,Biotechnology,Angel,,Bengaluru,Mynvax is a biotech Company.,2018
Loans4SME,Financial Services,Seed,,Mumbai,Loans4SME is an alternative lending platform.,2018
UpCyclersLab,Apps,Seed,,Mumbai,UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,2018
Cellerite Systems,Electric Vehicle,Seed,,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles.,2018
Taru Naturals,Agriculture,Seed,,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,2018
LetsMD,Fitness,Seed,1000000.0,Delhi,LetsMD.com is a marketplace for elective surgeries,2018
Twenty Two Motors,Automotive,Corporate Round,65000000.0,Haryana,Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,2018
Truebil,Automotive,Series A,2000000.0,Mumbai,"Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",2018
FarmersFZ,Agriculture,Seed,,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2018
Worxogo,Information Technology,Series A,2001012.49,Bengaluru,worxogo’s is a pioneering persuasive technology products align employee behaviours .,2018
Vivish Technologies (myGate),Apps,Series A,7882776.47,Bengaluru,India's leading mobile based security management solution .,2018
Singularity Dynamics,Artificial Intelligence,Seed,,Bengaluru,Singularity Dynamics is a Chip-design testing startup.,2018
Virtual MetalStreet(MetalStreet),B2B,Angel,700000.0,Bengaluru,Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,2018
Veritas Finance,Financial Services,,30000000.0,Guindy,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,2018
Manjushree Technopack,Packaging Services,Private Equity,,Bengaluru,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,2018
GoZefo,Computer,,2546743.17,Bengaluru,Startup working on a white space in the eCommerce industry.,2018
Zomato,Food Delivery,Secondary Market,210000000.0,Gurgaon,Zomato is a search app offering detailed information for restaurants as well as online food delivery.,2018
Innov8 Coworking,Collaboration,Seed,4000000.0,Delhi,Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,2018
RevFin,Accounting,Seed,,Delhi,RevFin is a digital lending company.,2018
Lavelle Networks,Cloud Computing,,242546.97,Bengaluru,Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,2018
Blackbuck,Information Services,Series D,24613666.33,Bengaluru,Blackbuck is a logistics startup based in India.,2018
Cardekho,Automotive,Series C,75000000.0,Gurgaon,Cardekho is a car search venture that helps users buy cars that are right for them.,2018
ElasticRun,Delivery,Series B,7276409.04,Pune,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,2018
Droom Technology Private Limited,Automotive,Series E,30000000.0,Gurgaon,Droom is a marketplace for automobiles and automobile services.,2018
Vogo Rentals,Last Mile Transportation,Debt Financing,970187.87,Kormangala,Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,2018
InnerChef,Cooking,,1760000.0,Gurgaon,InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,2018
LivQuik,Fintech,Corporate Round,2700000.0,Mumbai,LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,2018
Disprz,E-Learning,Debt Financing,400000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2018
9stacks,Online Games,Series A,3395657.55,Delhi,Online gaming startup.,2018
Origo,—,,9701878.73,Gurgaon,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",2018
YourOwnROOM,Online Portals,Seed,750000.0,Bengaluru,"Good quality, strategically located homes closer to work for millennials",2018
Vahdam Teas,E-Commerce,Series B,2500000.0,Delhi,Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,2018
Spoofin,Music,,,Delhi,A social networking app that lets you create and view Spoofs of your favourite videos.,2018
Strom Motors,Automotive,Angel,,Mumbai,Strom Motors is a smart urban mobility Company.,2018
PharmEasy,Health Care,Series C,80000000.0,Mumbai,PharmEasy - Indias largest healthcare delivery platform,2018
Licious,Delivery Service,Series C,25000000.0,Bengaluru,"Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",2018
Stanza Living,Hospitality,,8852964.34,Delhi,Stanza Living is a co-living platform created for students moving to a new place.,2018
docturnal,Biotechnology,Seed,,Hyderabad,"Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",2018
Bounce (Metro Bikes),Autonomous Vehicles,Debt Financing,3000000.0,Bengaluru,"Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",2018
Technology 9 Labs (T9L),Information Technology,Corporate Round,,Delhi,Technology 9 Labs is an Information Technology and Services company.,2018
Goals101,Financial Services,Seed,3500000.0,Delhi,Goals101 is a one of the fastest growing big-data platforms.,2018
Satya MicroCapital,Finance,,4850939.36,Delhi,New Delhi-based non-banking financial company.,2018
Ummeed Housing Finance Private Limited,Finance,Series C,7276409.04,Haryana,Ummeed Housing Finance Private Limited,2018
